#List of GP samples." 
#iter	p1	p2	response
1	2.1675064804855126	2.2940040292366923	7.49592
2	2.0	2.0	1.44383
3	2.3	2.0	11.7989
4	2.0	2.3	11.5958
5	2.3	2.3	5.40523
6	2.0	2.06335128679226	3.48312
7	2.05324566475567	2.0	0.980288
8	2.090602510062865	2.0	2.246
9	2.037503960453605	2.0	0.708984
10	2.1350913047925464	2.1255054217932003	1.89842
11	2.2362236151029875	2.1694211269041563	2.75001
12	2.0755135811068106	2.058061435511118	0.761256
13	2.046061569971359	2.0260370370942042	0.616149
14	2.132738167626474	2.0742343347249292	1.05695
15	2.3	2.173062558110114	4.40168
16	2.0391664696814975	2.0159243711472925	0.6111
17	2.190667076710567	2.103886865527776	2.27675
18	2.0642951857193377	2.035437654386431	0.261442
19	2.0786162747822594	2.0366430603067265	0.238729
20	2.071849026780606	2.0352480162105486	0.0828754
21	2.0	2.160671370250451	6.907
22	2.1731399097594988	2.188739764302107	3.4409
23	2.098551448010594	2.0973398033972517	1.67255
24	2.247122814740167	2.231026180912383	3.83734
25	2.070674371337398	2.0276555388493236	0.349114
26	2.1777367116304256	2.0	5.8576
27	2.094435191372343	2.1896246282946956	5.37464
28	2.3	2.105964120850617	6.6106
29	2.187121837092949	2.1435475912225526	1.99565
30	2.072162577688144	2.0386353338378735	0.0837949
31	2.1519094354297374	2.0964554564228854	1.28155
32	2.3	2.233569556697089	3.99969
33	2.1652032857591488	2.061649279907596	2.64665
34	2.0929302815761064	2.3	9.44805
35	2.237907747698823	2.3	6.25869
36	2.05372778043658	2.114745695127926	3.68795
37	2.235138661121193	2.123442020067839	3.33448
38	2.018105164956431	2.0253733171277326	1.55773
39	2.10399208734064	2.0662407093077158	0.497669
40	2.119783353342543	2.0478195508331716	1.37697
